benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
cubic,52849136724,13783937025432,13836786162156,17087093645.000,17087.093645,10.276,41.00,41.00,45.00,47.00,280.021652,280021.652,,,280.021652,280021.652
cubic,52848005540,13836819037276,13889667042816,17087107933.000,17087.107933,10.284,41.00,41.00,45.00,47.00,279.958694,279958.694,,,279.958694,279958.694
cubic,52844775864,13889700482390,13942545258254,17085887176.000,17085.887176,10.368,41.00,41.00,45.00,47.00,280.077988,280077.988,,,280.077988,280077.988
cubic,52847851448,13942577998418,13995425849866,17086830401.000,17086.830401,10.208,41.00,40.00,45.00,47.00,280.078156,280078.156,,,280.078156,280078.156
cubic,52845449448,13995490794180,14048336243628,17086263959.000,17086.263959,20.452,40.00,41.00,45.00,47.00,280.667404,280667.404,,,280.667404,280667.404
dijkstra,58501869064,14048400628482,14106902497546,18914871061.000,18914.871061,20.448,41.00,41.00,45.00,50.00,337.681122,337681.122,,,337.681122,337681.122
dijkstra,58749489272,14107062660890,14165812150162,18994950056.000,18994.950056,51.239,41.00,41.00,44.00,50.00,339.182205,339182.205,,,339.182205,339182.205
dijkstra,58733745124,14165939399386,14224673144510,18989815842.000,18989.815842,40.954,41.00,42.00,45.00,49.00,338.937637,338937.637,,,338.937637,338937.637
dijkstra,58489175780,14224769731438,14283258907218,18910913475.000,18910.913475,30.744,41.00,42.00,45.00,50.00,337.801178,337801.178,,,337.801178,337801.178
dijkstra,58525269288,14283418838810,14341944108098,18922446958.000,18922.446958,51.333,41.00,41.00,45.00,51.00,338.107422,338107.422,,,338.107422,338107.422
dijkstra,58273028756,14342103876502,14400376905258,18841003848.000,18841.003848,51.228,41.00,42.00,44.00,49.00,336.710480,336710.480,,,336.710480,336710.480
dijkstra,58640030788,14400505503414,14459145534202,18959563748.000,18959.563748,41.012,41.00,41.00,45.00,50.00,338.758377,338758.377,,,338.758377,338758.377
dijkstra,58339289584,14459274188566,14517613478150,18862517378.000,18862.517378,41.122,42.00,43.00,45.00,50.00,337.046387,337046.387,,,337.046387,337046.387
dijkstra,58326041600,14517772625645,14576098667245,18857940117.000,18857.940117,51.123,42.00,42.00,45.00,50.00,337.059143,337059.143,,,337.059143,337059.143
dijkstra,58346974244,14576226514917,14634573489161,18864832992.000,18864.832992,41.041,42.00,42.00,45.00,50.00,337.310638,337310.638,,,337.310638,337310.638
dijkstra,58212886616,14634733673594,14692946560210,18821568958.000,18821.568958,51.285,42.00,42.00,45.00,50.00,336.775833,336775.833,,,336.775833,336775.833
dijkstra,58254475948,14693074937426,14751329413374,18835052305.000,18835.052305,41.018,42.00,41.00,45.00,50.00,336.752243,336752.243,,,336.752243,336752.243
dijkstra,58293266084,14751489016946,14809782283030,18847438579.000,18847.438579,51.183,41.00,41.00,45.00,51.00,337.242767,337242.767,,,337.242767,337242.767
dijkstra,58567046248,14809942670138,14868509716386,18936017332.000,18936.017332,51.404,42.00,42.00,45.00,49.00,338.296829,338296.829,,,338.296829,338296.829
dijkstra,58524462652,14868637942318,14927162404970,18922025365.000,18922.025365,41.110,41.00,42.00,45.00,50.00,337.880844,337880.844,,,337.880844,337880.844
dijkstra,58538879344,14927322862658,14985861742002,18927139890.000,18927.139890,51.432,42.00,42.00,44.00,50.00,338.616669,338616.669,,,338.616669,338616.669
dijkstra,58941822828,14986021710876,15044963533704,19057076582.000,19057.076582,51.297,42.00,42.00,45.00,51.00,340.364365,340364.365,,,340.364365,340364.365
dijkstra,58401079940,15045091337102,15103492417042,18882115067.000,18882.115067,41.020,42.00,41.00,45.00,50.00,337.442017,337442.017,,,337.442017,337442.017
dijkstra,58519469428,15103620027686,15162139497114,18920664616.000,18920.664616,40.991,42.00,42.00,45.00,49.00,337.946106,337946.106,,,337.946106,337946.106
dijkstra,58648107436,15162236340289,15220884447725,18962289096.000,18962.289096,30.771,42.00,41.00,45.00,50.00,338.734116,338734.116,,,338.734116,338734.116
dijkstra,58632229916,15221045028696,15279677258612,18957209250.000,18957.209250,51.338,42.00,42.00,45.00,50.00,338.735214,338735.214,,,338.735214,338735.214
dijkstra,58373792072,15279804817590,15338178609662,18873494862.000,18873.494862,40.915,42.00,41.00,45.00,50.00,337.190765,337190.765,,,337.190765,337190.765
dijkstra,58182267244,15338306871198,15396489138442,18811597569.000,18811.597569,41.086,42.00,41.00,45.00,49.00,336.291565,336291.565,,,336.291565,336291.565
dijkstra,58468226520,15396617631644,15455085858164,18904115444.000,18904.115444,41.020,42.00,41.00,45.00,49.00,337.599030,337599.030,,,337.599030,337599.030
dijkstra,58137457156,15455214177456,15513351634612,18797288096.000,18797.288096,40.905,42.00,41.00,45.00,51.00,335.956924,335956.924,,,335.956924,335956.924
dijkstra,58333352928,15513511011850,15571844364778,18860288912.000,18860.288912,51.164,42.00,41.00,45.00,50.00,337.227203,337227.203,,,337.227203,337227.203
dijkstra,58486190136,15571972410881,15630458601017,18909886378.000,18909.886378,40.947,41.00,41.00,45.00,51.00,338.357635,338357.635,,,338.357635,338357.635
dijkstra,58930196720,15630618873254,15689549069974,19053410746.000,19053.410746,51.394,41.00,42.00,45.00,50.00,340.001923,340001.923,,,340.001923,340001.923
