benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
dijkstra,444397872,4500517231239,4500961629111,143742751.000,143.742751,0.010,45.00,44.00,45.00,44.00,2.391220,2391.220,1.887222,1887.222,0.037537,37.537,,,2.391220,2391.220
dijkstra,444795956,4500961987503,4501406783459,143869591.000,143.869591,0.009,44.00,45.00,44.00,45.00,2.389984,2389.984,1.885635,1885.635,0.037598,37.598,,,2.389984,2389.984
dijkstra,444341584,4501407133267,4501851474851,143723084.000,143.723084,0.009,45.00,44.00,45.00,44.00,2.388306,2388.306,1.884186,1884.186,0.037598,37.598,,,2.388306,2388.306
dijkstra,442666880,4501851827135,4502294494015,143181741.000,143.181741,0.009,44.00,45.00,44.00,45.00,2.389923,2389.923,1.886612,1886.612,0.037598,37.598,,,2.389923,2389.923
dijkstra,442077836,4502294848871,4502736926707,142990674.000,142.990674,0.009,45.00,45.00,45.00,45.00,2.387253,2387.253,1.884537,1884.537,0.037613,37.613,,,2.387253,2387.253
dijkstra,443717792,4502737276871,4503180994663,143520580.000,143.520580,0.009,45.00,45.00,45.00,45.00,2.387817,2387.817,1.884109,1884.109,0.037598,37.598,,,2.387817,2387.817
dijkstra,443638116,4503181342743,4503624980859,143495953.000,143.495953,0.009,45.00,44.00,45.00,44.00,2.388885,2388.885,1.884613,1884.613,0.037643,37.643,,,2.388885,2388.885
dijkstra,443061624,4503625334147,4504068395771,143309600.000,143.309600,0.009,44.00,45.00,44.00,45.00,2.389725,2389.725,1.885391,1885.391,0.037643,37.643,,,2.389725,2389.725
dijkstra,442737492,4504068750519,4504511488011,143204813.000,143.204813,0.009,45.00,44.00,45.00,44.00,2.398285,2398.285,1.893738,1893.738,0.037582,37.582,,,2.398285,2398.285
dijkstra,443260220,4504511841063,4504955101283,143372317.000,143.372317,0.009,44.00,45.00,44.00,45.00,2.383820,2383.820,1.880463,1880.463,0.037643,37.643,,,2.383820,2383.820
dijkstra,443756020,4504955448831,4505399204851,143534214.000,143.534214,0.009,45.00,44.00,45.00,44.00,2.392990,2392.990,1.889221,1889.221,0.037628,37.628,,,2.392990,2392.990
dijkstra,442418612,4505399559819,4505841978431,143101454.000,143.101454,0.009,44.00,45.00,44.00,45.00,2.386307,2386.307,1.882721,1882.721,0.037613,37.613,,,2.386307,2386.307
dijkstra,443223708,4505842331051,4506285554759,143361535.000,143.361535,0.009,45.00,45.00,45.00,45.00,2.389099,2389.099,1.883972,1883.972,0.037643,37.643,,,2.389099,2389.099
dijkstra,443586848,4506285907827,4506729494675,143479409.000,143.479409,0.009,45.00,44.00,45.00,44.00,2.390396,2390.396,1.885269,1885.269,0.037613,37.613,,,2.390396,2390.396
dijkstra,443517924,4506729847679,4507173365603,143457938.000,143.457938,0.009,44.00,44.00,44.00,44.00,2.389877,2389.877,1.884506,1884.506,0.037567,37.567,,,2.389877,2389.877
dijkstra,443851252,4507173721907,4507617573159,143564974.000,143.564974,0.009,44.00,46.00,44.00,46.00,2.390976,2390.976,1.886124,1886.124,0.037582,37.582,,,2.390976,2390.976
dijkstra,442985668,4507624433109,4508067418777,143306289.000,143.306289,2.091,43.00,45.00,44.00,45.00,2.382446,2382.446,1.878845,1878.845,0.037628,37.628,,,2.382446,2382.446
dijkstra,443059440,4508067777413,4508510836853,143309262.000,143.309262,0.010,45.00,44.00,45.00,44.00,2.389008,2389.008,1.884384,1884.384,0.037567,37.567,,,2.389008,2389.008
dijkstra,443168972,4508511193817,4508954362789,143343929.000,143.343929,0.009,44.00,46.00,44.00,46.00,2.387451,2387.451,1.883591,1883.591,0.037598,37.598,,,2.387451,2387.451
dijkstra,445690740,4508961174324,4509406865064,144162030.000,144.162030,2.097,43.00,45.00,44.00,45.00,2.407700,2407.700,1.899704,1899.704,0.037827,37.827,,,2.407700,2407.700
dijkstra,443924508,4509407238240,4509851162748,143588643.000,143.588643,0.010,45.00,45.00,45.00,45.00,2.412033,2412.033,1.906998,1906.998,0.037476,37.476,,,2.412033,2412.033
fdct,442600524,4509851517956,4510294118480,143162033.000,143.162033,0.009,45.00,45.00,45.00,45.00,2.369064,2369.064,1.869949,1869.949,0.037262,37.262,,,2.369064,2369.064
fdct,442690124,4510294454616,4510737144740,143190004.000,143.190004,0.009,45.00,45.00,45.00,45.00,2.388245,2388.245,1.884872,1884.872,0.037476,37.476,,,2.388245,2388.245
fdct,442609560,4510737476824,4511180086384,143162806.000,143.162806,0.009,45.00,45.00,45.00,45.00,2.383621,2383.621,1.881302,1881.302,0.037491,37.491,,,2.383621,2383.621
